,Title,Year,Varietal,Price,Region,Country,Score_WS,Score_RP,Score_W&S,Score_JH,Score_CG,Score_WE,Score_WW,Score_BH,Score_JS,Score_TP,Score_D,Score_V,Score_JD,ProfessionalRating,Professional,StarRating,numRater,Shopping_Link,Img_src
9987,Bodegas Sierra Salinas Puerto Salinas 2010,2010,Other Red Blends,16.99,,Spain,,,,,,,,,91,,,,,91,,0,0,https://www.wine.com/product/Bodegas-Sierra-Salinas-Puerto-Salinas-2010/175681,https://www.wine.com/product/images/fl_progressive/175681.jpg
9988,Ambra Carmignano Montefortini 2013,2013,Sangiovese,21.99,Tuscany,Italy,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Ambra-Carmignano-Montefortini-2013/164535,https://www.wine.com/product/images/fl_progressive/164535.jpg
9989,Brewer-Clifton Gnesa Chardonnay 2012,2012,Chardonnay,63.99,Central Coast,California,,,,,,92,,,,,,,,92,,0,0,https://www.wine.com/product/Brewer-Clifton-Gnesa-Chardonnay-2012/135068,https://www.wine.com/product/images/fl_progressive/135068.jpg
9990,Falernia Syrah Reserva 2012,2012,Syrah/Shiraz,13.99,Elqui Valley,Chile,,89,,,,,,,,,,,,89,,0,0,https://www.wine.com/product/Falernia-Syrah-Reserva-2012/166382,https://www.wine.com/product/images/fl_progressive/166382.jpg
9991,Godelia Mencia Bierzo 2013,2013,Other Red Wine,22.99,Bierzo,Spain,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Godelia-Mencia-Bierzo-2013/508323,https://www.wine.com/product/images/fl_progressive/pvwts3f8g2vzurcm0qdb.jpg
9992,Frescobaldi Pomino Benefizio Riserva 2014,2014,Chardonnay,46.99,Tuscany,Italy,,,,,,,,,90,,,,,90,,0,0,https://www.wine.com/product/Frescobaldi-Pomino-Benefizio-Riserva-2014/163982,https://www.wine.com/product/images/fl_progressive/163982.jpg
9993,Huarpe Taymente Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,10.99,Mendoza,Argentina,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Huarpe-Taymente-Cabernet-Sauvignon-2014/230347,https://www.wine.com/product/images/fl_progressive/125964_refDetail-0.jpg
9994,La Playa Late Harvest Sauvignon Blanc (375ML half-bottle) 2015,2015,Other Dessert,11.99,Rapel Valley,Chile,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/La-Playa-Late-Harvest-Sauvignon-Blanc-375ML-half-bottle-2015/185569,https://www.wine.com/product/images/fl_progressive/185569.jpg
9995,Valentin Bianchi Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,13.99,Mendoza,Argentina,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Valentin-Bianchi-Cabernet-Sauvignon-2015/385390,https://www.wine.com/product/images/fl_progressive/385390.jpg
9996,Parador Tempranillo 2013,2013,Tempranillo,41.99,Napa Valley,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Parador-Tempranillo-2013/507652,https://www.wine.com/product/images/fl_progressive/wjgloxtpdyncc8mmke6o.jpg
9997,Domaine Grand Cotes du Jura Chardonnay 2015,2015,Chardonnay,25.99,Jura,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Domaine-Grand-Cotes-du-Jura-Chardonnay-2015/217860,https://www.wine.com/product/images/fl_progressive/217860.jpg
9998,Chacewater Winery Merlot 2014,2014,Merlot,17.99,Sierra Foothills,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Chacewater-Winery-Merlot-2014/507431,https://www.wine.com/product/images/fl_progressive/y2ovb2qkgjp0gkhdg8c8.jpg
9999,Metaphora Cabernet Franc 2013,2013,Cabernet Franc,86.99,Sierra Foothills,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Metaphora-Cabernet-Franc-2013/421160,https://www.wine.com/product/images/fl_progressive/421160.jpg
10000,Badenhorst Curator White Blend 2016,2016,Other White Blends,10.99,,South Africa,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Badenhorst-Curator-White-Blend-2016/206218,https://www.wine.com/product/images/fl_progressive/206218.jpg
10001,Rene Bouvier Fixin Crais de Chene 2015,2015,Pinot Noir,54.99,Burgundy,France,91,,,,,,,,,,,,,91,,0,0,https://www.wine.com/product/Rene-Bouvier-Fixin-Crais-de-Chene-2015/233745,https://www.wine.com/product/images/fl_progressive/372287_refDetail-0.jpg
10002,Seville Estate Chardonnay 2014,2014,Chardonnay,38.99,Yarra Valley,Australia,,90,,94,,,,,,,,,,92,,0,0,https://www.wine.com/product/Seville-Estate-Chardonnay-2014/156139,https://www.wine.com/product/images/fl_progressive/156139.jpg
10003,Domaine Bertagna Hautes Cotes de Nuits 2013,2013,Pinot Noir,33.99,Burgundy,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Domaine-Bertagna-Hautes-Cotes-de-Nuits-2013/142418,https://www.wine.com/product/images/fl_progressive/142418.jpg
10004,Estancia Sauvignon Blanc 2016,2016,Sauvignon Blanc,11.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Estancia-Sauvignon-Blanc-2016/336530,https://www.wine.com/product/images/fl_progressive/336530.jpg
10005,Pierre Henri Morel Luberon Blanc 2014,2014,Rhone White Blends,13.99,Rhone,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Pierre-Henri-Morel-Luberon-Blanc-2014/163240,https://www.wine.com/product/images/fl_progressive/163240.jpg
10006,Chateau Musar Lebanon Jeune White 2016,2016,Other White Blends,21.99,,Lebanon,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Chateau-Musar-Lebanon-Jeune-White-2016/305750,https://www.wine.com/product/images/fl_progressive/305750.jpg
10007,Savage White Blend 2014,2014,Bordeaux White Blends,49.99,,South Africa,93,90,,,,,,,,,,,,92,,0,0,https://www.wine.com/product/Savage-White-Blend-2014/213390,https://www.wine.com/product/images/fl_progressive/213390.jpg
10008,Dominique Cornin Macon-Chaintre 2016,2016,Chardonnay,24.99,Burgundy,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Dominique-Cornin-Macon-Chaintre-2016/354948,https://www.wine.com/product/images/fl_progressive/354948.jpg
10009,Anaba Sonoma Coast Pinot Noir 2014,2014,Pinot Noir,38.99,Sonoma County,California,,90,,,,90,,,92,,,,,91,,0,0,https://www.wine.com/product/Anaba-Sonoma-Coast-Pinot-Noir-2014/330977,https://www.wine.com/product/images/fl_progressive/330977.jpg
10010,Donelan Two Brothers Pinot Noir 2013,2013,Pinot Noir,69.99,Sonoma County,California,,,,,,,,,,92,,,,92,,0,0,https://www.wine.com/product/Donelan-Two-Brothers-Pinot-Noir-2013/300414,https://www.wine.com/product/images/fl_progressive/kkgbhgzuu036ct8fqpwx.jpg
10011,Dona Paula Los Cardos Sauvignon Blanc 2015,2015,Sauvignon Blanc,11.99,Mendoza,Argentina,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Dona-Paula-Los-Cardos-Sauvignon-Blanc-2015/155844,https://www.wine.com/product/images/fl_progressive/155844.jpg
10012,Digby Fine English Brut,,Non-Vintage Sparkling Wine,54.99,,England,,,,,,,,,,,97,,,97,,0,0,https://www.wine.com/product/Digby-Fine-English-Brut/343881,https://www.wine.com/product/images/fl_progressive/343881.jpg
10013,Chateau de Marsannay Gevrey-Chambertin 2014,2014,Pinot Noir,79.99,Burgundy,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Chateau-de-Marsannay-Gevrey-Chambertin-2014/166697,https://www.wine.com/product/images/fl_progressive/166697.jpg
10014,Calcareous Vineyard Twisted Paso Zinfandel 2015,2015,Zinfandel,21.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Calcareous-Vineyard-Twisted-Paso-Zinfandel-2015/450077,https://www.wine.com/product/images/fl_progressive/qasghqdgf9htawn4tuhi.jpg
10015,Roger Sabon Lirac 2012,2012,Rhone Red Blends,21.99,Rhone,France,,89,,,,,,,,,,,,89,,0,0,https://www.wine.com/product/Roger-Sabon-Lirac-2012/152743,https://www.wine.com/product/images/fl_progressive/152743.jpg
10016,Pellegrini Pinot Noir 2015,2015,Pinot Noir,31.99,Sonoma County,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Pellegrini-Pinot-Noir-2015/388336,https://www.wine.com/product/images/fl_progressive/388336.jpg
10017,Banfi Brut Metodo Classico,,Non-Vintage Sparkling Wine,27.99,Piedmont,Italy,,,,,,,,,91,,,,,91,,0,0,https://www.wine.com/product/Banfi-Brut-Metodo-Classico/18751,https://www.wine.com/product/images/fl_progressive/18751.jpg
10018,Carlson Chardonnay 2016,2016,Chardonnay,20.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Carlson-Chardonnay-2016/278979,https://www.wine.com/product/images/fl_progressive/278979.jpg
10019,William Knuttel Sage Canyon Ranch Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,46.99,Napa Valley,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/William-Knuttel-Sage-Canyon-Ranch-Cabernet-Sauvignon-2013/162229,https://www.wine.com/product/images/fl_progressive/162229.jpg
10020,Kazoo Red Blend 2011,2011,Other Red Blends,20.98,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Kazoo-Red-Blend-2011/141822,https://www.wine.com/product/images/fl_progressive/141822.jpg
10021,William Cole Albamar Chardonnay 2017,2017,Chardonnay,10.99,Casablanca Valley,Chile,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/William-Cole-Albamar-Chardonnay-2017/387284,https://www.wine.com/product/images/fl_progressive/387284.jpg
10022,Domaine Fouassier L&apos;Etourneau Sancerre Rouge 2015,2015,Pinot Noir,29.99,Loire,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Domaine-Fouassier-LEtourneau-Sancerre-Rouge-2015/431043,https://www.wine.com/product/images/fl_progressive/431043.jpg
10023,Enkidu E Old Vine Zinfandel 2016,2016,Zinfandel,22.99,Sonoma County,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Enkidu-E-Old-Vine-Zinfandel-2016/336251,https://www.wine.com/product/images/fl_progressive/336251.jpg
10024,Bargetto Pommard Clone Pinot Noir 2015,2015,Pinot Noir,35.99,Santa Cruz Mountains,California,,,,,,91,,,,,,,,91,,0,0,https://www.wine.com/product/Bargetto-Pommard-Clone-Pinot-Noir-2015/423170,https://www.wine.com/product/images/fl_progressive/423170.jpg
10025,Montalbera La Tradizione Ruche di Castagnole Monferrato 2016,2016,Other Red Wine,21.99,Piedmont,Italy,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Montalbera-La-Tradizione-Ruche-di-Castagnole-Monferrato-2016/485414,https://www.wine.com/product/images/fl_progressive/frpz3cxadl27uqez6lc7.jpg
10026,Kalex Pinot Noir 2013,2013,Pinot Noir,43.99,Central Otago,New Zealand,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Kalex-Pinot-Noir-2013/165573,https://www.wine.com/product/images/fl_progressive/165573.jpg
10027,Peirson Meyer Miller Vineyard Pinot Noir 2014,2014,Pinot Noir,51.99,Sonoma County,California,,94,,,,,,,,,,,,94,,0,0,https://www.wine.com/product/Peirson-Meyer-Miller-Vineyard-Pinot-Noir-2014/165542,https://www.wine.com/product/images/fl_progressive/165542.jpg
10028,Herdade do Rocim Amphora Branco 2014,2014,Other White Blends,15.99,Alentejo,Portugal,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Herdade-do-Rocim-Amphora-Branco-2014/164546,https://www.wine.com/product/images/fl_progressive/164546.jpg
10029,Ojai Solomon Hills Pinot Noir 2015,2015,Pinot Noir,51.99,Central Coast,California,,,,,,,,,,,,90,92,91,,0,0,https://www.wine.com/product/Ojai-Solomon-Hills-Pinot-Noir-2015/420049,https://www.wine.com/product/images/fl_progressive/420049.jpg
10030,De Martino Estate Carmenere 2015,2015,Carmenere,13.99,,Chile,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/De-Martino-Estate-Carmenere-2015/213271,https://www.wine.com/product/images/fl_progressive/213271.jpg
10031,Daniel Dampt Chablis 2015,2015,Chardonnay,24.99,Burgundy,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Daniel-Dampt-Chablis-2015/200229,https://www.wine.com/product/images/fl_progressive/103764_refDetail-0.jpg
10032,Villa Creek Avenger 2013,2013,Rhone Red Blends,56.99,Central Coast,California,91,,,,,,,,,,,,,91,,0,0,https://www.wine.com/product/Villa-Creek-Avenger-2013/161478,https://www.wine.com/product/images/fl_progressive/161478.jpg
10033,Chanin Bien Nacido Vineyard Pinot Noir 2012,2012,Pinot Noir,56.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Chanin-Bien-Nacido-Vineyard-Pinot-Noir-2012/141387,https://www.wine.com/product/images/fl_progressive/141387.jpg
10034,Tablas Creek Patelin de Tablas Rose 2016,2016,Rosí©,26.99,Central Coast,California,89,,,,,,,,,,,,,89,,0,0,https://www.wine.com/product/Tablas-Creek-Patelin-de-Tablas-Rose-2016/196083,https://www.wine.com/product/images/fl_progressive/196083.jpg
10035,Poggio di Sotto Brunello di Montalcino 2011,2011,Sangiovese,289.99,Tuscany,Italy,90,93,,,,95,,,93,,,,,93,,0,0,https://www.wine.com/product/Poggio-di-Sotto-Brunello-di-Montalcino-2011/355828,https://www.wine.com/product/images/fl_progressive/355828.jpg
10036,Domaine de Cristia Grenache Vieilles Vignes 2014,2014,Grenache,13.99,Rhone,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Domaine-de-Cristia-Grenache-Vieilles-Vignes-2014/359966,https://www.wine.com/product/images/fl_progressive/359966.jpg
10037,Mondillo Pinot Noir 2010,2010,Pinot Noir,46.99,Central Otago,New Zealand,,90,,,,,,,,,,,,90,,0,0,https://www.wine.com/product/Mondillo-Pinot-Noir-2010/143495,https://www.wine.com/product/images/fl_progressive/143495.jpg
10038,Priest Ranch Sauvignon Blanc 2017,2017,Sauvignon Blanc,22.99,Napa Valley,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Priest-Ranch-Sauvignon-Blanc-2017/434164,https://www.wine.com/product/images/fl_progressive/434164.jpg
10039,Barnard Griffin Pinot Gris 2015,2015,Pinot Gris/Grigio,10.99,Columbia Valley,Washington,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Barnard-Griffin-Pinot-Gris-2015/161707,https://www.wine.com/product/images/fl_progressive/161707.jpg
10040,Siduri Sierra Mar Vineyard Pinot Noir 2012,2012,Pinot Noir,51.98,Central Coast,California,,91,,,,91,,,,,,,,91,,0,0,https://www.wine.com/product/Siduri-Sierra-Mar-Vineyard-Pinot-Noir-2012/153253,https://www.wine.com/product/images/fl_progressive/153253.jpg
10041,Dancing Coyote Gruner Veltliner 2016,2016,Gruner Veltliner,13.99,Yolo County,California,,,,,,,89,,,,,,,89,,0,0,https://www.wine.com/product/Dancing-Coyote-Gruner-Veltliner-2016/397539,https://www.wine.com/product/images/fl_progressive/397539.jpg
10042,Fratelli Brovia Rocche di Castiglione Barolo 2012,2012,Nebbiolo,94.99,Piedmont,Italy,,92,,,,,,,,,,95,,94,,0,0,https://www.wine.com/product/Fratelli-Brovia-Rocche-di-Castiglione-Barolo-2012/164019,https://www.wine.com/product/images/fl_progressive/164019.jpg
10043,Domaine Francois Legros Vougeot Les Cras Premier Cru 2014,2014,Pinot Noir,82.99,Burgundy,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Domaine-Francois-Legros-Vougeot-Les-Cras-Premier-Cru-2014/218501,https://www.wine.com/product/images/fl_progressive/218501.jpg
10044,Skylark Rodgers Creek Syrah 2012,2012,Syrah/Shiraz,32.99,Sonoma County,California,93,90,,,,,,,,,,,,92,,0,0,https://www.wine.com/product/Skylark-Rodgers-Creek-Syrah-2012/171439,https://www.wine.com/product/images/fl_progressive/171439.jpg
10045,Campos de Suenos Verdejo 2014,2014,Verdejo,10.99,Rueda,Spain,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Campos-de-Suenos-Verdejo-2014/147766,https://www.wine.com/product/images/fl_progressive/147766.jpg
10046,Milbrandt Traditions Pinot Gris 2016,2016,Pinot Gris/Grigio,11.99,Columbia Valley,Washington,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Milbrandt-Traditions-Pinot-Gris-2016/355330,https://www.wine.com/product/images/fl_progressive/355330.jpg
10047,Pax The Vicar 2015,2015,Rhone Red Blends,41.99,North Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Pax-The-Vicar-2015/422612,https://www.wine.com/product/images/fl_progressive/422612.jpg
10048,La Follette Sangiacomo Pinot Noir 2015,2015,Pinot Noir,44.99,Sonoma County,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/La-Follette-Sangiacomo-Pinot-Noir-2015/420860,https://www.wine.com/product/images/fl_progressive/420860.jpg
10049,Red Car Sonoma Coast Chardonnay 2014,2014,Chardonnay,37.99,Sonoma County,California,,,,,,,92,,,,,,,92,,0,0,https://www.wine.com/product/Red-Car-Sonoma-Coast-Chardonnay-2014/410939,https://www.wine.com/product/images/fl_progressive/cc0d751f-35db-40cb-944a-8b9b65af44c9-0.jpg
10050,Troublemaker Rose 2017,2017,Rosí©,15.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Troublemaker-Rose-2017/434840,https://www.wine.com/product/images/fl_progressive/haio7yrxpaic3cewr0ge.jpg
10051,Bouchard Pere & Fils Puligny-Montrachet 2016,2016,Chardonnay,79.99,Burgundy,France,91,,,,,,,,,,,,,91,,0,0,https://www.wine.com/product/Bouchard-Pere-and-Fils-Puligny-Montrachet-2016/507125,https://www.wine.com/product/images/fl_progressive/gvqcnfisp49lelo3mxyo.jpg
10052,Johan Vineyards Blaufrankisch 2013,2013,Other Red Wine,35.99,Willamette Valley,Oregon,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Johan-Vineyards-Blaufrankisch-2013/163739,https://www.wine.com/product/images/fl_progressive/163739.jpg
10053,Il Palagio Roxanne Toscana Rosso 2016,2016,Tuscan Blends,21.99,Tuscany,Italy,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Il-Palagio-Roxanne-Toscana-Rosso-2016/511763,https://www.wine.com/product/images/fl_progressive/xpi7prd71z6p6vcofu1n.jpg
10054,Ampelos Cellars Viognier 2015,2015,Viognier,27.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Ampelos-Cellars-Viognier-2015/160486,https://www.wine.com/product/images/fl_progressive/160486.jpg
10055,Barbadillo Solear Manzanilla Sherry (375ML),,Sherry,11.99,Jerez,Spain,90,,,,,,,,,,,,,90,,0,0,https://www.wine.com/product/Barbadillo-Solear-Manzanilla-Sherry-375ML/137536,https://www.wine.com/product/images/fl_progressive/137536.jpg
10056,Fess Parker Clone 115 Pinot Noir 2013,2013,Pinot Noir,55.99,Central Coast,California,,,,,,92,,,,,,,,92,,0,0,https://www.wine.com/product/Fess-Parker-Clone-115-Pinot-Noir-2013/174766,https://www.wine.com/product/images/fl_progressive/174766.jpg
10057,Domaine d&apos;Ardhuy Bourgogne Chardonnay 2015,2015,Chardonnay,27.99,Burgundy,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Domaine-dArdhuy-Bourgogne-Chardonnay-2015/413065,https://www.wine.com/product/images/fl_progressive/413065.jpg
10058,Resonance Decouverte Vineyard Pinot Noir 2014,2014,Pinot Noir,69.99,Willamette Valley,Oregon,91,,,,,,,,,,,,,91,,0,0,https://www.wine.com/product/Resonance-Decouverte-Vineyard-Pinot-Noir-2014/176054,https://www.wine.com/product/images/fl_progressive/176054.jpg
10059,Darms Lane Bon Passe Vineyard Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,64.99,Napa Valley,California,,,,,,,92,,,,,,,92,,0,0,https://www.wine.com/product/Darms-Lane-Bon-Passe-Vineyard-Cabernet-Sauvignon-2014/405509,https://www.wine.com/product/images/fl_progressive/405509.jpg
10060,Torbreck Cuvee Juveniles 2015,2015,Rhone Red Blends,22.99,,Australia,,,,,,,,,91,,,,,91,,0,0,https://www.wine.com/product/Torbreck-Cuvee-Juveniles-2015/352400,https://www.wine.com/product/images/fl_progressive/352400.jpg
10061,Balo Anderson Valley Pinot Gris 2017,2017,Pinot Gris/Grigio,23.99,Mendocino,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Balo-Anderson-Valley-Pinot-Gris-2017/494813,https://www.wine.com/product/images/fl_progressive/efoadrwpmmbzxdzqghv1.jpg
10062,Scherrer Winery Sonoma County Dry Rose 2017,2017,Rosí©,24.99,Sonoma County,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Scherrer-Winery-Sonoma-County-Dry-Rose-2017/497738,https://www.wine.com/product/images/fl_progressive/nuddkfwxrrljyz6cvv4x.jpg
10063,Madai Origen Godello 2016,2016,Godello,20.99,Bierzo,Spain,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Madai-Origen-Godello-2016/337671,https://www.wine.com/product/images/fl_progressive/337671.jpg
10064,Menage a Trois Rose 2016,2016,Rosí©,10.99,,California,,,,,,,,,,,,,,0,,4.2,7,https://www.wine.com/product/Menage-a-Trois-Rose-2016/304374,https://www.wine.com/product/images/fl_progressive/304374.jpg
10065,Handpicked Wines Collection Tasmania Pinot Noir 2015,2015,Pinot Noir,43.99,Tasmania,Australia,,,,95,,,93,,,,,,,94,,0,0,https://www.wine.com/product/Handpicked-Wines-Collection-Tasmania-Pinot-Noir-2015/341360,https://www.wine.com/product/images/fl_progressive/341360.jpg
10066,Nobilo Chardonnay 2015,2015,Chardonnay,15.99,,New Zealand,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Nobilo-Chardonnay-2015/164435,https://www.wine.com/product/images/fl_progressive/164435.jpg
10067,Brander Cabernet Sauvignon 2016,2016,Cabernet Sauvignon,24.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Brander-Cabernet-Sauvignon-2016/240508,https://www.wine.com/product/images/fl_progressive/240508.jpg
10068,Annabella Chardonnay 2016,2016,Chardonnay,13.99,Napa Valley,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Annabella-Chardonnay-2016/391712,https://www.wine.com/product/images/fl_progressive/391712.jpg
10069,Barone Ricasoli Rocca Guicciarda Chianti Classico Riserva 2015,2015,Sangiovese,25.99,Tuscany,Italy,,,,,,90,,,,,,,,90,,0,0,https://www.wine.com/product/Barone-Ricasoli-Rocca-Guicciarda-Chianti-Classico-Riserva-2015/505642,https://www.wine.com/product/images/fl_progressive/xm2xv7h9fvcpfadtkf7i.jpg
10070,Fantini Farnese Gran Cuvee Rose Vino Spumante Brut,,Rosí© Sparkling Wine,24.99,Abruzzo,Italy,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Fantini-Farnese-Gran-Cuvee-Rose-Vino-Spumante-Brut/183870,https://www.wine.com/product/images/fl_progressive/183870.jpg
10071,Alma Rosa Clone 115 La Encantada Vineyard Pinot Noir 2012,2012,Pinot Noir,44.99,Central Coast,California,,92,,,,,,,,,,,,92,,0,0,https://www.wine.com/product/Alma-Rosa-Clone-115-La-Encantada-Vineyard-Pinot-Noir-2012/145127,https://www.wine.com/product/images/fl_progressive/145127.jpg
10072,Ojai Santa Barbara Syrah 2016,2016,Syrah/Shiraz,33.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Ojai-Santa-Barbara-Syrah-2016/422089,https://www.wine.com/product/images/fl_progressive/zjd8gjflely94fcmklhr.jpg
10073,Chateau Cabrieres Chateauneuf-du-Pape 2014,2014,Rhone Red Blends,47.99,Rhone,France,,,,,,,92,,,,,,,92,,0,0,https://www.wine.com/product/Chateau-Cabrieres-Chateauneuf-du-Pape-2014/329844,https://www.wine.com/product/images/fl_progressive/329844.jpg
10074,Metz Road Pinot Noir 2015,2015,Pinot Noir,32.99,Central Coast,California,,,,,,91,,,,,,,,91,,0,0,https://www.wine.com/product/Metz-Road-Pinot-Noir-2015/289711,https://www.wine.com/product/images/fl_progressive/289711.jpg
10075,Scheid Vineyards Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,35.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Scheid-Vineyards-Cabernet-Sauvignon-2013/167525,https://www.wine.com/product/images/fl_progressive/167525.jpg
10076,Skouras Zoe White 2017,2017,Other White Blends,13.99,Other Peloponnese,Greece,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Skouras-Zoe-White-2017/389553,https://www.wine.com/product/images/fl_progressive/389553.jpg
10077,Villa Wolf Dry Riesling 2017,2017,Riesling,13.99,Pfalz,Germany,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Villa-Wolf-Dry-Riesling-2017/507692,https://www.wine.com/product/images/fl_progressive/mrxalffyhrrkcawjlmse.jpg
10078,Guy Amiot Bourgogne Blanc 2014,2014,Chardonnay,32.99,Burgundy,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Guy-Amiot-Bourgogne-Blanc-2014/165022,https://www.wine.com/product/images/fl_progressive/165022.jpg
10079,Benovia Sonoma County Zinfandel 2013,2013,Zinfandel,42.99,Sonoma County,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Benovia-Sonoma-County-Zinfandel-2013/148567,https://www.wine.com/product/images/fl_progressive/148567.jpg
10080,Domaine de la Damase Grenache 2017,2017,Rhone Red Blends,12.99,Rhone,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Domaine-de-la-Damase-Grenache-2017/430235,https://www.wine.com/product/images/fl_progressive/430235.jpg
10081,Eric Kent Las Madres Vineyard Syrah 2014,2014,Syrah/Shiraz,43.99,Carneros,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Eric-Kent-Las-Madres-Vineyard-Syrah-2014/390249,https://www.wine.com/product/images/fl_progressive/390249.jpg
10082,Joseph Swan Saralee&apos;s Vineyard Pinot Noir 2014,2014,Pinot Noir,46.99,Sonoma County,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Joseph-Swan-Saralees-Vineyard-Pinot-Noir-2014/414757,https://www.wine.com/product/images/fl_progressive/bwbchtsneutko2nheryn.jpg
10083,Terragena Abbassi Vineyard Chardonnay 2016,2016,Chardonnay,29.99,Carneros,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Terragena-Abbassi-Vineyard-Chardonnay-2016/417979,https://www.wine.com/product/images/fl_progressive/417979.jpg
10084,We Believe Pinot Noir 2013,2013,Pinot Noir,27.99,Sonoma County,California,,,,,,,,,,91,,,,91,,0,0,https://www.wine.com/product/We-Believe-Pinot-Noir-2013/164609,https://www.wine.com/product/images/fl_progressive/164609.jpg
10085,Lagier Meredith Malbec 2014,2014,Malbec,49.99,Napa Valley,California,,,,,,,92,,,,,,,92,,0,0,https://www.wine.com/product/Lagier-Meredith-Malbec-2014/167932,https://www.wine.com/product/images/fl_progressive/167932.jpg
10086,Inkarri by Chakana Estate White Blend 2017,2017,Other White Blends,10.99,Mendoza,Argentina,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Inkarri-by-Chakana-Estate-White-Blend-2017/508205,https://www.wine.com/product/images/fl_progressive/np9sbsdm2woftifqfrdp.jpg
10087,Tokaj Hetszolo Dry Furmint 2012,2012,Furmint,17.99,,Hungary,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Tokaj-Hetszolo-Dry-Furmint-2012/166025,https://www.wine.com/product/images/fl_progressive/166025.jpg
