,Title,Year,Varietal,Price,Region,Country,Score_WS,Score_RP,Score_W&S,Score_JH,Score_CG,Score_WE,Score_WW,Score_BH,Score_JS,Score_TP,Score_D,Score_V,Score_JD,ProfessionalRating,Professional,StarRating,numRater,Shopping_Link,Img_src
1771,Opolo Summit Creek Zinfandel 2016,2016,Zinfandel,16.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Opolo-Summit-Creek-Zinfandel-2016/389525,https://www.wine.com/product/images/fl_progressive/389525.jpg
1772,Bodegas Izadi Rioja Reserva 2013,2013,Tempranillo,17.99,Rioja,Spain,90,,,,,,,,93,,,,,92,,3.8,18,https://www.wine.com/product/Bodegas-Izadi-Rioja-Reserva-2013/355975,https://www.wine.com/product/images/fl_progressive/355975.jpg
1773,Greg Norman Estates Santa Barbara County Pinot Noir 2016,2016,Pinot Noir,13.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Greg-Norman-Estates-Santa-Barbara-County-Pinot-Noir-2016/359461,https://www.wine.com/product/images/fl_progressive/359461.jpg
1774,Ramsay Pinot Noir 2016,2016,Pinot Noir,14.99,North Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Ramsay-Pinot-Noir-2016/420033,https://www.wine.com/product/images/fl_progressive/420033.jpg
1775,St. Francis Old Vines Zinfandel 2015,2015,Zinfandel,16.99,Sonoma County,California,,,,,,,,,,,,,,0,,4.3,8,https://www.wine.com/product/St-Francis-Old-Vines-Zinfandel-2015/377927,https://www.wine.com/product/images/fl_progressive/377927.jpg
1776,Lillet Blanc,,Fruit Wine,17.99,,France,,,,,,92,,,,,,,,92,,4,21,https://www.wine.com/product/Lillet-Blanc/8431,https://www.wine.com/product/images/fl_progressive/8431.jpg
1777,Tenuta di Capraia Chianti Classico Riserva 2013,2013,Sangiovese,24.99,Tuscany,Italy,93,,,,,,,,91,,,94,,93,,4,6,https://www.wine.com/product/Tenuta-di-Capraia-Chianti-Classico-Riserva-2013/404201,https://www.wine.com/product/images/fl_progressive/404201.jpg
1778,Santa Cristina by Antinori Pinot Grigio 2016,2016,Pinot Gris/Grigio,12.99,,Italy,,,,,,,,,,,,,,0,,3.9,35,https://www.wine.com/product/Santa-Cristina-by-Antinori-Pinot-Grigio-2016/254769,https://www.wine.com/product/images/fl_progressive/254769.jpg
1779,Chateau Busquet Lussac-St. Emilion 2015,2015,Bordeaux Red Blends,17.99,Bordeaux,France,,90,,,,,91,,,,,,,91,,0,0,https://www.wine.com/product/Chateau-Busquet-Lussac-St-Emilion-2015/352425,https://www.wine.com/product/images/fl_progressive/352425.jpg
1780,Beaulieu Vineyard Reserve Tapestry 2014,2014,Bordeaux Red Blends,53.99,Napa Valley,California,,90,,,,,,,95,,,,,93,,0,0,https://www.wine.com/product/Beaulieu-Vineyard-Reserve-Tapestry-2014/360884,https://www.wine.com/product/images/fl_progressive/360884.jpg
1781,Cupcake Vineyards Prosecco,,Non-Vintage Sparkling Wine,9.99,Prosecco,Italy,,,,,,,,,,,,,,0,,4,101,https://www.wine.com/product/Cupcake-Vineyards-Prosecco/125849,https://www.wine.com/product/images/fl_progressive/125849.jpg
1782,Montinore Muller Thurgau 2014,2014,Muller Thurgau,15.99,Willamette Valley,Oregon,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Montinore-Muller-Thurgau-2014/357061,https://www.wine.com/static/images/nolabel.gif
1783,Outlot Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,27.99,Sonoma County,California,,,,,,90,89,,,,,,,90,,4.5,5,https://www.wine.com/product/Outlot-Cabernet-Sauvignon-2014/335286,https://www.wine.com/product/images/fl_progressive/335286.jpg
1784,Bouchard Pere & Fils Beaune Greves Vigne de l&apos;Enfant Jesus 2016,2016,Pinot Noir,129.99,Burgundy,France,93,,,,,,,,,,,,,93,,0,0,https://www.wine.com/product/Bouchard-Pere-and-Fils-Beaune-Greves-Vigne-de-lEnfant-Jesus-2016/507127,https://www.wine.com/product/images/fl_progressive/mrs4ihl2bdhaalvhpdwo.jpg
1785,Rustic Farmhouse Slate Cheese Board,,Entertaining,29.99,,,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Rustic-Farmhouse-Slate-Cheese-Board/496772,https://www.wine.com/product/images/fl_progressive/vn99fibbadfwiny75mic.jpg
1786,Chateau Fombrauge 2012,2012,Bordeaux Red Blends,33.99,Bordeaux,France,90,,,,,94,,,90,,,,,91,,4.2,25,https://www.wine.com/product/Chateau-Fombrauge-2012/139582,https://www.wine.com/product/images/fl_progressive/139582.jpg
