,Title,Title2,Price,StarRating,numRater,Shopping_Link,Img_src,Website
375,92 Point Jordan Cabernet Sauvignon & Cheers! Wine Tote,Jordan Cabernet,49.97,4.6000000000000005,12.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/jordan-cabernet/p/1171750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h4e/hd7/8806728007710.png,Total Wine
376,92 Point Jordan Cabernet Sauvignon & Cheers! Wine Tote,Jordan Cabernet,99.99,4.6000000000000005,12.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/jordan-cabernet/p/1171015?s=205&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h30/he2/8797133635614.png,Total Wine
377,92 Point Jordan Cabernet Sauvignon & Cheers! Wine Tote,Jordan Cabernet,779.99,4.6000000000000005,12.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/jordan-cabernet/p/1171030?s=801&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/ha7/h54/8803515498526.png,Total Wine
378,Lanson Black Label Brut,Lanson Black Label Brut,71.99,,0.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/lanson-black-label-brut/p/95062015?s=1112&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hfe/h3e/9121425588254.png,Total Wine
379,Lanson Black Label Brut,Lanson Black Label Brut,379.99,,0.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/lanson-black-label-brut/p/95062030?s=1205&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h03/hc7/9121428111390.png,Total Wine
380,Lanson Black Label Brut (375ML half-bottle),Lanson Black Label Brut,71.99,,0.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/lanson-black-label-brut/p/95062015?s=1112&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hfe/h3e/9121425588254.png,Total Wine
381,Lanson Black Label Brut (375ML half-bottle),Lanson Black Label Brut,379.99,,0.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/lanson-black-label-brut/p/95062030?s=1205&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h03/hc7/9121428111390.png,Total Wine
382,Lanson Black Label Brut (1.5 Liter Magnum),Lanson Black Label Brut,71.99,,0.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/lanson-black-label-brut/p/95062015?s=1112&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hfe/h3e/9121425588254.png,Total Wine
383,Lanson Black Label Brut (1.5 Liter Magnum),Lanson Black Label Brut,379.99,,0.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/lanson-black-label-brut/p/95062030?s=1205&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h03/hc7/9121428111390.png,Total Wine
384,Broadbent Vinho Verde,Broadbent Vinho Verde,7.49,,0.0,https://www.totalwine.com/wine/white-wine/vinho-verde/broadbent-vinho-verde/p/113961750?s=205&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hc2/h8c/10531461791774.png,Total Wine
385,Broadbent Vinho Verde Rose,Broadbent Vinho Verde,7.49,,0.0,https://www.totalwine.com/wine/white-wine/vinho-verde/broadbent-vinho-verde/p/113961750?s=205&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hc2/h8c/10531461791774.png,Total Wine
386,Piper-Heidsieck Cuvee Brut,Piper Heidsieck Brut,48.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/brut/piper-heidsieck-brut/p/451750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h66/hd3/9014688874526.png,Total Wine
387,Piper-Heidsieck Cuvee Brut,Piper Heidsieck Brut,13.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/piper-heidsieck-brut/p/451187?s=922&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h21/h8e/8814018887710.png,Total Wine
388,Piper-Heidsieck Cuvee Brut in Neoprene Ice Jacket,Piper Heidsieck Brut,48.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/brut/piper-heidsieck-brut/p/451750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h66/hd3/9014688874526.png,Total Wine
389,Piper-Heidsieck Cuvee Brut in Neoprene Ice Jacket,Piper Heidsieck Brut,13.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/piper-heidsieck-brut/p/451187?s=922&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h21/h8e/8814018887710.png,Total Wine
390,Piper-Heidsieck Cuvee Brut (1.5 Liter Magnum),Piper Heidsieck Brut,48.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/brut/piper-heidsieck-brut/p/451750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h66/hd3/9014688874526.png,Total Wine
391,Piper-Heidsieck Cuvee Brut (1.5 Liter Magnum),Piper Heidsieck Brut,13.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/piper-heidsieck-brut/p/451187?s=922&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h21/h8e/8814018887710.png,Total Wine
392,Piper-Heidsieck Cuvee Brut (375ML half-bottle),Piper Heidsieck Brut,48.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/brut/piper-heidsieck-brut/p/451750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h66/hd3/9014688874526.png,Total Wine
393,Piper-Heidsieck Cuvee Brut (375ML half-bottle),Piper Heidsieck Brut,13.99,5.0,3.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/piper-heidsieck-brut/p/451187?s=922&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h21/h8e/8814018887710.png,Total Wine
